Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
1.2,3.156655464,-4.851186813,-1.694531349
1.25,3.119251771,-4.812152918,-1.692901146
1.3,3.082316825,-4.778289183,-1.695972358
1.35,3.045908677,-4.739700843,-1.693792166
1.4,3.010075631,-4.699787727,-1.689712096
1.414213562,3,-4.690553673,-1.690553673
1.45,2.974857194,-4.655161175,-1.68030398
1.5,2.940285,-4.650362973,-1.710077972
1.6,2.873171623,-4.610206613,-1.73703499
1.7,2.808862527,-4.574605296,-1.765742769
1.8,2.747408113,-4.553885912,-1.806477799
1.9,2.688801324,-4.540114815,-1.851313491
2,2.632993162,-4.575241964,-1.942248802
2.1,2.579905011,-4.547549559,-1.967644548
2.2,2.529438226,-4.477706208,-1.948267982
2.3,2.481481481,-4.453024277,-1.971542796
2.4,2.435916317,-4.430082984,-1.994166667
2.5,2.392621248,-4.440961866,-2.048340619
3,2.206045378,-4.286312118,-2.080266739
3.5,2.059625886,-4.171775206,-2.11214932
4,1.942809042,-4.069536724,-2.126727683
5,1.769800359,-3.905279969,-2.13547961
7,1.560112034,-3.696255335,-2.136143302
10,1.396059017,-3.531223581,-2.135164564
