Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
1.2,3.156655464,-4.833232488,-1.676577024
1.25,3.119251771,-4.793620067,-1.674368296
1.3,3.082316825,-4.713959445,-1.63164262
1.35,3.045908677,-4.698684955,-1.652776278
1.4,3.010075631,-4.676079422,-1.666003792
1.414213562,3,-4.680317278,-1.680317277
1.45,2.974857194,-4.652538091,-1.677680897
1.5,2.940285,-4.63617339,-1.69588839
1.6,2.873171623,-4.606673848,-1.733502225
1.7,2.808862527,-4.5806152,-1.771752673
1.8,2.747408113,-4.557273355,-1.809865242
1.9,2.688801324,-4.535959222,-1.847157898
2,2.632993162,-4.516007364,-1.883014202
2.1,2.579905011,-4.496168247,-1.916263236
2.2,2.529438226,-4.475078298,-1.945640072
2.3,2.481481481,-4.452946407,-1.971464926
2.4,2.435916317,-4.430012965,-1.994096648
2.5,2.392621248,-4.406498276,-2.013877029
3,2.206045378,-4.286260311,-2.080214933
3.5,2.059625886,-4.171727033,-2.112101148
4,1.942809042,-4.069490183,-2.126681141
5,1.769800359,-3.905232547,-2.135432188
7,1.560112034,-3.696205635,-2.136093601
10,1.396059017,-3.531172403,-2.135113386
