Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
1.2,3.156655464,-4.833232433,-1.676576968
1.25,3.119251771,-4.793619577,-1.674367806
1.3,3.082316825,-4.768621229,-1.686304404
1.35,3.045908677,-4.682059445,-1.636150767
1.4,3.010075631,-4.681751272,-1.671675641
1.414213562,3,-4.657480681,-1.657480681
1.45,2.974857194,-4.648581848,-1.673724653
1.5,2.940285,-4.6374292,-1.6971442
1.6,2.873171623,-4.597159639,-1.723988015
1.7,2.808862527,-4.565980268,-1.757117742
1.8,2.747408113,-4.55090121,-1.803493097
1.9,2.688801324,-4.534260944,-1.84545962
2,2.632993162,-4.515970298,-1.882977136
2.1,2.579905011,-4.496168312,-1.916263301
2.2,2.529438226,-4.475078492,-1.945640266
2.3,2.481481481,-4.452946304,-1.971464822
2.4,2.435916317,-4.430012585,-1.994096267
2.5,2.392621248,-4.406497865,-2.013876617
3,2.206045378,-4.28626062,-2.080215242
3.5,2.059625886,-4.171727141,-2.112101255
4,1.942809042,-4.069490104,-2.126681063
5,1.769800359,-3.905232706,-2.135432347
7,1.560112034,-3.696206074,-2.136094041
10,1.396059017,-3.531172364,-2.135113347
