Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
1.2,3.156655464,-4.675455695,-1.518800231
1.25,3.119251771,-4.631888484,-1.512636712
1.3,3.082316825,-4.507494247,-1.425177421
1.35,3.045908677,-4.46349544,-1.417586763
1.4,3.010075631,-4.501493835,-1.491418205
1.414213562,3,-4.407488876,-1.407488876
1.45,2.974857194,-4.493366854,-1.51850966
1.5,2.940285,-4.497561849,-1.557276848
1.6,2.873171623,-4.500955983,-1.62778436
1.7,2.808862527,-4.498670042,-1.689807515
1.8,2.747408113,-4.491720184,-1.744312071
1.9,2.688801324,-4.480962299,-1.792160976
2,2.632993162,-4.467116532,-1.83412337
2.1,2.579905011,-4.45078884,-1.870883829
2.2,2.529438226,-4.432489401,-1.903051175
2.3,2.481481481,-4.41264808,-1.931166599
2.4,2.435916317,-4.391627283,-1.955710965
2.5,2.392621248,-4.369732599,-1.977111351
3,2.206045378,-4.254861179,-2.048815801
3.5,2.059625886,-4.143240619,-2.083614734
4,1.942809042,-4.042742636,-2.099933595
5,1.769800359,-3.880351199,-2.11055084
7,1.560112034,-3.672910063,-2.11279803
10,1.396059017,-3.508916831,-2.112857814
