Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.6,3.65328874,-5.208704155,-1.555415415
0.8,3.172619048,-5.029414422,-1.856795375
1,2.866666667,-4.867705237,-2.00103857
1.2,2.650641026,-4.725502402,-2.074861376
1.5,2.41991342,-4.547662711,-2.127749291
2,2.166666667,-4.329137217,-2.162470551
2.5,1.998290598,-4.175872057,-2.177581459
3,1.876190476,-4.061286974,-2.185096498
4,1.708333333,-3.898603465,-2.190270131
5,1.596825397,-3.788059826,-2.191234429
6,1.516666667,-3.708062574,-2.191395907
8,1.408333333,-3.599763134,-2.191429801
