Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.6,3.65328874,-5.205167844,-1.551879103
0.8,3.172619048,-5.023790343,-1.851171295
1,2.866666667,-4.85902866,-1.992361993
1.2,2.650641026,-4.712722469,-2.062081443
1.5,2.41991342,-4.527104846,-2.107191426
2,2.166666667,-4.295166067,-2.1284994
2.5,1.998290598,-4.132482638,-2.134192039
3,1.876190476,-4.012481233,-2.136290757
4,1.708333333,-3.845233407,-2.136900074
5,1.596825397,-3.73321131,-2.136385913
6,1.516666667,-3.652549064,-2.135882397
8,1.408333333,-3.543532079,-2.135198745
