Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0.6,3.65328874,-5.198702136,-1.545413396
0.8,3.172619048,-5.016626238,-1.84400719
1,2.866666667,-4.851965703,-1.985299036
1.2,2.650641026,-4.706396655,-2.055755629
1.5,2.41991342,-4.52268785,-2.10277443
2,2.166666667,-4.293734596,-2.12706793
2.5,1.998290598,-4.132155894,-2.133865296
3,1.876190476,-4.012450858,-2.136260382
4,1.708333333,-3.845253348,-2.136920015
5,1.596825397,-3.733255366,-2.136429969
6,1.516666667,-3.652595098,-2.135928431
8,1.408333333,-3.543580788,-2.135247455
