Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.6,3.65328874,-5.205170341,-1.551881601
0.8,3.172619048,-5.023791943,-1.851172895
1,2.866666667,-4.859029026,-1.992362359
1.2,2.650641026,-4.712722467,-2.062081441
1.5,2.41991342,-4.527104759,-2.107191339
2,2.166666667,-4.295166174,-2.128499507
2.5,1.998290598,-4.13248285,-2.134192251
3,1.876190476,-4.012481253,-2.136290777
4,1.708333333,-3.845233484,-2.136900151
5,1.596825397,-3.733211409,-2.136386012
6,1.516666667,-3.652549076,-2.13588241
8,1.408333333,-3.543532084,-2.135198751
