Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD_free Electronic Energy (Hartree),pCCD_free Total Energy (Hartree)
0.6,3.65328874,-5.198681634,-1.545392894
0.8,3.172619048,-5.016670875,-1.844051828
1,2.866666667,-4.85196904,-1.985302373
1.2,2.650641026,-4.706372392,-2.055731366
1.5,2.41991342,-4.522713616,-2.102800196
2,2.166666667,-4.29366985,-2.127003183
2.5,1.998290598,-4.132098308,-2.133807709
3,1.876190476,-4.012390405,-2.136199929
4,1.708333333,-3.845218282,-2.136884949
5,1.596825397,-3.733203419,-2.136378023
6,1.516666667,-3.652548433,-2.135881766
8,1.408333333,-3.543529509,-2.135196176
