Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.6,3.65328874,-5.208688272,-1.555399531
0.8,3.172619048,-5.029317609,-1.856698562
1,2.866666667,-4.867392023,-2.000725356
1.2,2.650641026,-4.724741309,-2.074100283
1.5,2.41991342,-4.545587913,-2.125674493
2,2.166666667,-4.323263532,-2.156596865
2.5,1.998290598,-4.165891612,-2.167601014
3,1.876190476,-4.048289544,-2.172099068
4,1.708333333,-3.882621249,-2.174287916
5,1.596825397,-3.768812317,-2.17198692
6,1.516666667,-3.690525396,-2.173858729
8,1.408333333,-3.573980907,-2.165647573
