Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.6,3.65328874,-5.20868903,-1.55540029
0.8,3.172619048,-5.02931863,-1.856699583
1,2.866666667,-4.867392622,-2.000725956
1.2,2.650641026,-4.724740404,-2.074099378
1.5,2.41991342,-4.545587774,-2.125674354
2,2.166666667,-4.323262078,-2.156595411
2.5,1.998290598,-4.165890737,-2.167600139
3,1.876190476,-4.048290648,-2.172100172
4,1.708333333,-3.878689359,-2.170356025
5,1.596825397,-3.770998759,-2.174173362
6,1.516666667,-3.689131993,-2.172465326
8,1.408333333,-3.581102969,-2.172769636
