Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0.6,3.65328874,-5.208702724,-1.555413984
0.8,3.172619048,-5.029415684,-1.856796636
1,2.866666667,-4.867705384,-2.001038718
1.2,2.650641026,-4.725503045,-2.07486202
1.5,2.41991342,-4.547663423,-2.127750003
2,2.166666667,-4.329141064,-2.162474397
2.5,1.998290598,-4.175875734,-2.177585136
3,1.876190476,-4.061286361,-2.185095885
4,1.708333333,-3.898603449,-2.190270116
5,1.596825397,-3.788060629,-2.191235232
6,1.516666667,-3.708062535,-2.191395869
8,1.408333333,-3.59976311,-2.191429777
