Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.6,3.65328874,-5.205169368,-1.551880628
0.8,3.172619048,-5.023792369,-1.851173321
1,2.866666667,-4.859030353,-1.992363686
1.2,2.650641026,-4.712723908,-2.062082882
1.5,2.41991342,-4.527104953,-2.107191533
2,2.166666667,-4.295166308,-2.128499641
2.5,1.998290598,-4.13248262,-2.134192022
3,1.876190476,-4.01248123,-2.136290754
4,1.708333333,-3.845233434,-2.136900101
5,1.596825397,-3.733211323,-2.136385926
6,1.516666667,-3.652549068,-2.135882402
8,1.408333333,-3.543532078,-2.135198745
