Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0.6,3.65328874,-5.208992111,-1.55570337
0.8,3.172619048,-5.029583132,-1.856964085
1,2.866666667,-4.867573361,-2.000906694
1.2,2.650641026,-4.724826544,-2.074185518
1.5,2.41991342,-4.545591887,-2.125678467
2,2.166666667,-4.323299026,-2.15663236
2.5,1.998290598,-4.165944979,-2.167654381
3,1.876190476,-4.048325141,-2.172134665
4,1.708333333,-3.882628779,-2.174295445
5,1.596825397,-3.768812424,-2.171987027
6,1.516666667,-3.690525741,-2.173859074
8,1.408333333,-3.581102997,-2.172769664
