Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.6,3.65328874,-5.208704441,-1.555415701
0.8,3.172619048,-5.02941648,-1.856797432
1,2.866666667,-4.867706559,-2.001039893
1.2,2.650641026,-4.725514344,-2.074873318
1.5,2.41991342,-4.547724833,-2.127811413
2,2.166666667,-4.329393036,-2.16272637
2.5,1.998290598,-4.176326416,-2.178035818
3,1.876190476,-4.061874403,-2.185683927
4,1.708333333,-3.899286519,-2.190953186
5,1.596825397,-3.788762046,-2.191936649
6,1.516666667,-3.708767571,-2.192100905
8,1.408333333,-3.600468696,-2.192135362
