Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.6,3.65328874,-5.208705071,-1.555416331
0.8,3.172619048,-5.029414848,-1.8567958
1,2.866666667,-4.867707241,-2.001040575
1.2,2.650641026,-4.725515078,-2.074874053
1.5,2.41991342,-4.547722902,-2.127809482
2,2.166666667,-4.329393348,-2.162726681
2.5,1.998290598,-4.176326912,-2.178036314
3,1.876190476,-4.061871422,-2.185680946
4,1.708333333,-3.899285345,-2.190952012
5,1.596825397,-3.788761892,-2.191936495
6,1.516666667,-3.708767354,-2.192100688
8,1.408333333,-3.600468801,-2.192135468
