Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.6,3.65328874,-5.205169144,-1.551880404
0.8,3.172619048,-5.023791801,-1.851172754
1,2.866666667,-4.859029829,-1.992363162
1.2,2.650641026,-4.712723433,-2.062082407
1.5,2.41991342,-4.527104628,-2.107191208
2,2.166666667,-4.295165896,-2.12849923
2.5,1.998290598,-4.132482666,-2.134192068
3,1.876190476,-4.012481322,-2.136290846
4,1.708333333,-3.845233463,-2.136900129
5,1.596825397,-3.733211357,-2.13638596
6,1.516666667,-3.652549252,-2.135882585
8,1.408333333,-3.543532141,-2.135198808
