Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0.6,3.65328874,-5.094990484,-1.441701743
0.8,3.172619048,-4.924447313,-1.751828265
1,2.866666667,-4.771831419,-1.905164753
1.2,2.650641026,-4.637849126,-1.987208101
1.5,2.41991342,-4.468917676,-2.049004256
2,2.166666667,-4.255359049,-2.088692382
2.5,1.998290598,-4.10087542,-2.102584822
3,1.876190476,-3.984483186,-2.10829271
4,1.708333333,-3.820257085,-2.111923752
5,1.596825397,-3.709468959,-2.112643562
6,1.516666667,-3.629459145,-2.112792479
8,1.408333333,-3.52117673,-2.112843397
