Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0,4.511844635,-5.872078873,-1.360234238
0.005,4.477315124,-5.854954974,-1.37763985
0.01,4.444503726,-5.839484654,-1.394980928
0.02,4.383525993,-5.815525729,-1.431999736
0.05,4.230648047,-5.791973725,-1.561325679
0.1,4.045084971,-5.770797825,-1.725712854
0.15,3.914118274,-5.750499106,-1.836380832
0.2,3.81831316,-5.729253923,-1.910940763
0.25,3.747171465,-5.708552009,-1.961380544
0.3,3.694523535,-5.689983334,-1.995459799
0.4,3.630868035,-5.663401621,-2.032533586
0.5,3.611111111,-5.654177763,-2.043066652
