Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0,4.511844635,-5.865681725,-1.35383709
0.005,4.477315124,-5.848280264,-1.370965139
0.01,4.444503726,-5.832039739,-1.387536013
0.02,4.383525993,-5.803962768,-1.420436776
0.05,4.230648047,-5.766849991,-1.536201945
0.1,4.045084971,-5.750894348,-1.705809376
0.15,3.914118274,-5.734032011,-1.819913737
0.2,3.81831316,-5.715239169,-1.896926009
0.25,3.747171465,-5.696282563,-1.949111098
0.3,3.694523535,-5.678938248,-1.984414714
0.4,3.630868035,-5.653729908,-2.022861873
0.5,3.611111111,-5.64490297,-2.033791859
