Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,4.511844635,-5.871642551,-1.359797916
0.005,4.477315124,-5.854689979,-1.377374855
0.01,4.444503726,-5.839441285,-1.394937559
0.02,4.383525993,-5.814817781,-1.431291789
0.05,4.230648047,-5.786969311,-1.556321265
0.1,4.045084971,-5.766789525,-1.721704553
0.15,3.914118274,-5.747350447,-1.833232173
0.2,3.81831316,-5.726768588,-1.908455428
0.25,3.747171465,-5.706553592,-1.959382126
0.3,3.694523535,-5.68833257,-1.993809035
0.4,3.630868035,-5.662145496,-2.031277461
0.5,3.611111111,-5.653036813,-2.041925702
