Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
0,4.511844635,-5.871642547,-1.359797912
0.005,4.477315124,-5.854689977,-1.377374853
0.01,4.444503726,-5.83944133,-1.394937604
0.02,4.383525993,-5.814817865,-1.431291873
0.05,4.230648047,-5.786969352,-1.556321306
0.1,4.045084971,-5.76678935,-1.721704378
0.15,3.914118274,-5.747350469,-1.833232196
0.2,3.81831316,-5.726768557,-1.908455398
0.25,3.747171465,-5.706553618,-1.959382153
0.3,3.694523535,-5.688332683,-1.993809148
0.4,3.630868035,-5.662145632,-2.031277597
0.5,3.611111111,-5.65303694,-2.041925829
