Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0,4.511844635,-5.872095127,-1.360250492
0.005,4.477315124,-5.854991197,-1.377676073
0.01,4.444503726,-5.839540726,-1.395037
0.02,4.383525993,-5.815629424,-1.432103431
0.05,4.230648047,-5.792074609,-1.561426562
0.1,4.045084971,-5.770867131,-1.725782159
0.15,3.914118274,-5.750544736,-1.836426462
0.2,3.81831316,-5.729286005,-1.910972846
0.25,3.747171465,-5.708575442,-1.961403977
0.3,3.694523535,-5.690001185,-1.99547765
0.4,3.630868035,-5.66341495,-2.032546915
0.5,3.611111111,-5.654189793,-2.043078682
