Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0,3.383883476,-5.194217117,-1.810333641
0.005,3.357986347,-5.175612479,-1.817626133
0.01,3.333377787,-5.159641411,-1.826263624
0.02,3.287644484,-5.133466456,-1.845821973
0.05,3.172986045,-5.092116387,-1.919130342
0.1,3.033813726,-5.052048487,-2.018234761
0.15,2.935588705,-5.017900469,-2.082311764
0.2,2.86373487,-4.986949758,-2.123214888
0.25,2.810378602,-4.95984531,-2.149466709
0.3,2.770892648,-4.937303162,-2.166410514
0.4,2.723151023,-4.907128382,-2.18397736
0.5,2.708333333,-4.897115655,-2.188782321
