Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0,3.383883476,-5.19464024,-1.810756764
0.005,3.357986347,-5.175727875,-1.817741528
0.01,3.333377787,-5.160151934,-1.826774147
0.02,3.287644484,-5.13729045,-1.849645966
0.05,3.172986045,-5.099736856,-1.926750811
0.1,3.033813726,-5.058407467,-2.024593741
0.15,2.935588705,-5.023127912,-2.087539207
0.2,2.86373487,-4.991375029,-2.127640159
0.25,2.810378602,-4.963731295,-2.153352693
0.3,2.770892648,-4.940832135,-2.169939487
0.4,2.723151023,-4.91027543,-2.187124408
0.5,2.708333333,-4.900154746,-2.191821412
