Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,3.383883476,-5.044359236,-1.660475759
0.005,3.357986347,-5.118908613,-1.760922266
0.01,3.333377787,-5.106414643,-1.773036856
0.02,3.287644484,-5.089463278,-1.801818794
0.05,3.172986045,-5.060582448,-1.887596403
0.1,3.033813726,-5.027128832,-1.993315105
0.15,2.935588705,-4.996552128,-2.060963422
0.2,2.86373487,-4.967711577,-2.103976707
0.25,2.810378602,-4.941911349,-2.131532747
0.3,2.770892648,-4.920167937,-2.149275289
0.4,2.723151023,-4.890701307,-2.167550284
0.5,2.708333333,-4.880892864,-2.172559531
