Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0,3.383883476,-5.04364938,-1.659765903
0.005,3.357986347,-5.118886922,-1.760900575
0.01,3.333377787,-5.106388626,-1.773010839
0.02,3.287644484,-5.089419473,-1.801774989
0.05,3.172986045,-5.060525452,-1.887539407
0.1,3.033813726,-5.027146206,-1.99333248
0.15,2.935588705,-4.996569568,-2.060980863
0.2,2.86373487,-4.967752668,-2.104017798
0.25,2.810378602,-4.94193327,-2.131554668
0.3,2.770892648,-4.920120155,-2.149227507
0.4,2.723151023,-4.890703919,-2.167552896
0.5,2.708333333,-4.880944782,-2.172611448
