Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0,3.383883476,-5.186177358,-1.802293881
0.005,3.357986347,-5.161516067,-1.80352972
0.01,3.333377787,-5.144695085,-1.811317298
0.02,3.287644484,-5.115590793,-1.827946309
0.05,3.172986045,-5.061733251,-1.888747206
0.1,3.033813726,-5.027307388,-1.993493662
0.15,2.935588705,-4.996830677,-2.061241972
0.2,2.86373487,-4.968114525,-2.104379655
0.25,2.810378602,-4.942387471,-2.13200887
0.3,2.770892648,-4.920689778,-2.14979713
0.4,2.723151023,-4.891325303,-2.16817428
0.5,2.708333333,-4.881514582,-2.173181249
