Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,3.383883476,-5.120926533,-1.737043057
0.005,3.357986347,-5.177634418,-1.819648071
0.01,3.333377787,-5.163424037,-1.83004625
0.02,3.287644484,-5.141725592,-1.854081108
0.05,3.172986045,-5.1025826,-1.929596555
0.1,3.033813726,-5.060639399,-2.026825673
0.15,2.935588705,-5.025247602,-2.089658897
0.2,2.86373487,-4.993495467,-2.129760597
0.25,2.810378602,-4.965889612,-2.15551101
0.3,2.770892648,-4.943037642,-2.172144994
0.4,2.723151023,-4.912570855,-2.189419833
0.5,2.708333333,-4.902486143,-2.194152809
