Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0,2.707106781,-4.610905961,-1.90379918
0.005,2.686389082,-4.618471762,-1.93208268
0.01,2.666702232,-4.601869511,-1.935167279
0.02,2.630115588,-4.572689959,-1.942574371
0.05,2.53838883,-4.510111311,-1.971722481
0.1,2.427050984,-4.4552375,-2.028186516
0.15,2.348470964,-4.417995285,-2.069524321
0.2,2.290987895,-4.385073038,-2.094085143
0.25,2.248302884,-4.357079642,-2.108776758
0.3,2.216714119,-4.334382309,-2.117668191
0.4,2.178520823,-4.304793014,-2.126272191
0.5,2.166666667,-4.295165827,-2.12849916
