Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0,2.707106781,-4.654944126,-1.947837345
0.005,2.686389082,-4.618463221,-1.932074139
0.01,2.666702232,-4.601864133,-1.9351619
0.02,2.630115588,-4.572649705,-1.942534117
0.05,2.53838883,-4.510022963,-1.971634133
0.1,2.427050984,-4.455237412,-2.028186428
0.15,2.348470964,-4.417995469,-2.069524505
0.2,2.290987895,-4.38507294,-2.094085045
0.25,2.248302884,-4.357079802,-2.108776919
0.3,2.216714119,-4.334382204,-2.117668085
0.4,2.178520823,-4.304793167,-2.126272344
0.5,2.166666667,-4.295165995,-2.128499328
