Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0,2.707106781,-4.663481801,-1.95637502
0.005,2.686389082,-4.640541592,-1.95415251
0.01,2.666702232,-4.625736451,-1.959034219
0.02,2.630115588,-4.602832366,-1.972716778
0.05,2.53838883,-4.556500613,-2.018111783
0.1,2.427050984,-4.502838814,-2.07578783
0.15,2.348470964,-4.459554508,-2.111083543
0.2,2.290987895,-4.423239999,-2.132252104
0.25,2.248302884,-4.393367189,-2.145064305
0.3,2.216714119,-4.369642093,-2.152927974
0.4,2.178520823,-4.339201369,-2.160680546
0.5,2.166666667,-4.329389154,-2.162722487
