Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0,2.707106781,-4.603296795,-1.896190014
0.005,2.686389082,-4.618488706,-1.932099624
0.01,2.666702232,-4.601947271,-1.935245039
0.02,2.630115588,-4.572940153,-1.942824565
0.05,2.53838883,-4.510658837,-1.972270007
0.1,2.427050984,-4.455237398,-2.028186414
0.15,2.348470964,-4.417995306,-2.069524341
0.2,2.290987895,-4.385072955,-2.09408506
0.25,2.248302884,-4.357079932,-2.108777048
0.3,2.216714119,-4.334382105,-2.117667987
0.4,2.178520823,-4.304792875,-2.126272052
0.5,2.166666667,-4.295165921,-2.128499255
