Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0,2.707106781,-4.429956062,-1.722849281
0.005,2.686389082,-4.493923885,-1.807534802
0.01,2.666702232,-4.488417905,-1.821715672
0.02,2.630115588,-4.478330083,-1.848214495
0.05,2.53838883,-4.45240844,-1.91401961
0.1,2.427050984,-4.414135166,-1.987084182
0.15,2.348470964,-4.378099293,-2.029628329
0.2,2.290987895,-4.345417116,-2.054429221
0.25,2.248302884,-4.317413748,-2.069110864
0.3,2.216714119,-4.294663837,-2.077949719
0.4,2.178520823,-4.265004255,-2.086483432
0.5,2.166666667,-4.255359049,-2.088692382
