Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0,2.707106781,-4.492369024,-1.785262243
0.005,2.686389082,-4.566440949,-1.880051867
0.01,2.666702232,-4.553068837,-1.886366604
0.02,2.630115588,-4.533830278,-1.90371469
0.05,2.53838883,-4.497893925,-1.959505095
0.1,2.427050984,-4.454608493,-2.027557509
0.15,2.348470964,-4.417159389,-2.068688424
0.2,2.290987895,-4.383951078,-2.092963183
0.25,2.248302884,-4.355792058,-2.107489174
0.3,2.216714119,-4.333023201,-2.116309083
0.4,2.178520823,-4.303349886,-2.124829063
0.5,2.166666667,-4.293771555,-2.127104889
