Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0,4.511844635,-5.865682344,-1.353837709
0.005,4.477315124,-5.848276077,-1.370960953
0.01,4.444503726,-5.832061914,-1.387558188
0.02,4.383525993,-5.803946781,-1.420420788
0.05,4.230648047,-5.766849969,-1.536201923
0.1,4.045084971,-5.750894344,-1.705809373
0.15,3.914118274,-5.73403197,-1.819913696
0.2,3.81831316,-5.715239191,-1.896926032
0.25,3.747171465,-5.69628256,-1.949111095
0.3,3.694523535,-5.67893824,-1.984414705
0.4,3.630868035,-5.653729888,-2.022861853
0.5,3.611111111,-5.644902997,-2.033791886
