Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0,4.511844635,-5.865680996,-1.35383636
0.005,4.477315124,-5.848270448,-1.370955324
0.01,4.444503726,-5.832058581,-1.387554855
0.02,4.383525993,-5.803942419,-1.420416426
0.05,4.230648047,-5.766849994,-1.536201947
0.1,4.045084971,-5.750894393,-1.705809421
0.15,3.914118274,-5.734031986,-1.819913712
0.2,3.81831316,-5.715239211,-1.896926052
0.25,3.747171465,-5.69628259,-1.949111124
0.3,3.694523535,-5.678938251,-1.984414716
0.4,3.630868035,-5.653729916,-2.022861881
0.5,3.611111111,-5.644902952,-2.033791841
