Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0,4.511844635,-5.821458723,-1.309614088
0.005,4.477315124,-5.806358656,-1.329043532
0.01,4.444503726,-5.795923107,-1.351419381
0.02,4.383525993,-5.783383297,-1.399857304
0.05,4.230648047,-5.766792145,-1.536144099
0.1,4.045084971,-5.750809098,-1.705724127
0.15,3.914118274,-5.733925487,-1.819807213
0.2,3.81831316,-5.715087413,-1.896774253
0.25,3.747171465,-5.696117203,-1.948945737
0.3,3.694523535,-5.678712318,-1.984188783
0.4,3.630868035,-5.653506476,-2.022638441
0.5,3.611111111,-5.644644186,-2.033533074
