Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0,4.511844635,-5.82145745,-1.309612815
0.005,4.477315124,-5.806354675,-1.329039551
0.01,4.444503726,-5.795917584,-1.351413858
0.02,4.383525993,-5.78337207,-1.399846077
0.05,4.230648047,-5.766800869,-1.536152822
0.1,4.045084971,-5.75082306,-1.705738088
0.15,3.914118274,-5.733942463,-1.81982419
0.2,3.81831316,-5.715131596,-1.896818436
0.25,3.747171465,-5.696092396,-1.948920931
0.3,3.694523535,-5.67871043,-1.984186895
0.4,3.630868035,-5.653519405,-2.022651371
0.5,3.611111111,-5.64467033,-2.033559219
