Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0,3.383883476,-5.193573053,-1.809689577
0.005,3.357986347,-5.175611975,-1.817625628
0.01,3.333377787,-5.159642769,-1.826264981
0.02,3.287644484,-5.133471735,-1.845827251
0.05,3.172986045,-5.092117003,-1.919130958
0.1,3.033813726,-5.052049118,-2.018235392
0.15,2.935588705,-5.017900725,-2.08231202
0.2,2.86373487,-4.986949695,-2.123214825
0.25,2.810378602,-4.959844717,-2.149466115
0.3,2.770892648,-4.937302583,-2.166409935
0.4,2.723151023,-4.907127843,-2.183976821
0.5,2.708333333,-4.897116472,-2.188783139
