Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0,3.383883476,-5.192580302,-1.808696825
0.005,3.357986347,-5.175622153,-1.817635806
0.01,3.333377787,-5.159681274,-1.826303487
0.02,3.287644484,-5.133543952,-1.845899468
0.05,3.172986045,-5.092119789,-1.919133745
0.1,3.033813726,-5.052062352,-2.018248626
0.15,2.935588705,-5.017914716,-2.082326011
0.2,2.86373487,-4.986960826,-2.123225956
0.25,2.810378602,-4.95985458,-2.149475979
0.3,2.770892648,-4.93731013,-2.166417482
0.4,2.723151023,-4.907135222,-2.1839842
0.5,2.708333333,-4.89712211,-2.188788777
