Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0,3.383883476,-5.179713943,-1.795830467
0.005,3.357986347,-5.161518481,-1.803532135
0.01,3.333377787,-5.144713472,-1.811335685
0.02,3.287644484,-5.115640011,-1.827995527
0.05,3.172986045,-5.061754876,-1.888768831
0.1,3.033813726,-5.02730735,-1.993493624
0.15,2.935588705,-4.996830632,-2.061241927
0.2,2.86373487,-4.96811449,-2.10437962
0.25,2.810378602,-4.942387408,-2.132008806
0.3,2.770892648,-4.920689616,-2.149796968
0.4,2.723151023,-4.891325554,-2.168174531
0.5,2.708333333,-4.881514642,-2.173181309
