Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0,3.383883476,-5.165723066,-1.781839589
0.005,3.357986347,-5.161518405,-1.803532058
0.01,3.333377787,-5.144713246,-1.811335459
0.02,3.287644484,-5.11563998,-1.827995496
0.05,3.172986045,-5.061754455,-1.88876841
0.1,3.033813726,-5.027307299,-1.993493573
0.15,2.935588705,-4.996830605,-2.0612419
0.2,2.86373487,-4.96811452,-2.10437965
0.25,2.810378602,-4.942387419,-2.132008818
0.3,2.770892648,-4.92068967,-2.149797022
0.4,2.723151023,-4.891325448,-2.168174425
0.5,2.708333333,-4.881514554,-2.17318122
