Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0,2.707106781,-4.662399345,-1.955292564
0.005,2.686389082,-4.639363573,-1.952974491
0.01,2.666702232,-4.623467671,-1.956765438
0.02,2.630115588,-4.596582291,-1.966466703
0.05,2.53838883,-4.54568958,-2.00730075
0.1,2.427050984,-4.493306117,-2.066255133
0.15,2.348470964,-4.451334628,-2.102863664
0.2,2.290987895,-4.415880203,-2.124892308
0.25,2.248302884,-4.386533005,-2.138230122
0.3,2.216714119,-4.363122748,-2.146408629
0.4,2.178520823,-4.332994253,-2.15447343
0.5,2.166666667,-4.323262021,-2.156595354
