Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0,2.707106781,-4.663481704,-1.956374923
0.005,2.686389082,-4.640419255,-1.954030173
0.01,2.666702232,-4.625466782,-1.95876455
0.02,2.630115588,-4.602263369,-1.972147781
0.05,2.53838883,-4.555772739,-2.017383909
0.1,2.427050984,-4.502298353,-2.075247369
0.15,2.348470964,-4.459146272,-2.110675308
0.2,2.290987895,-4.422905172,-2.131917277
0.25,2.248302884,-4.393069487,-2.144766604
0.3,2.216714119,-4.369369065,-2.152654946
0.4,2.178520823,-4.338946472,-2.160425649
0.5,2.166666667,-4.329142803,-2.162476136
