Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0,2.707106781,-4.663481765,-1.956374984
0.005,2.686389082,-4.640419139,-1.954030057
0.01,2.666702232,-4.62546803,-1.958765798
0.02,2.630115588,-4.602264153,-1.972148565
0.05,2.53838883,-4.555777225,-2.017388395
0.1,2.427050984,-4.502298743,-2.075247759
0.15,2.348470964,-4.459142909,-2.110671945
0.2,2.290987895,-4.422898872,-2.131910977
0.25,2.248302884,-4.393074854,-2.14477197
0.3,2.216714119,-4.369368828,-2.152654709
0.4,2.178520823,-4.338943511,-2.160422688
0.5,2.166666667,-4.329137644,-2.162470978
