File,Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree),Counter
database/h4_a2.0_alpha0.15/sto-6g/AP1roGSDSpin_free/0/results.out,0.15,2.3484709641643686,-4.417995284787869,-2.0695243206235006,6
database/h4_a2.0_alpha0.01/sto-6g/AP1roGSDSpin_free/0/results.out,0.01,2.666702232265087,-4.601869511312853,-1.935167279047766,18
database/h4_a2.0_alpha0.2/sto-6g/AP1roGSDSpin_free/0/results.out,0.2,2.2909878949098776,-4.385073037767199,-2.0940851428573217,8
database/h4_a2.0_alpha0.005/sto-6g/AP1roGSDSpin_free/0/results.out,0.005,2.686389082229104,-4.618471762089495,-1.932082679860391,22
database/h4_a2.0_alpha0.1/sto-6g/AP1roGSDSpin_free/0/results.out,0.1,2.427050984022334,-4.455237499894428,-2.028186515872094,5
database/h4_a2.0_alpha0.25/sto-6g/AP1roGSDSpin_free/0/results.out,0.25,2.2483028836684276,-4.357079642035212,-2.1087767583667847,7
database/h4_a2.0_alpha0.5/sto-6g/AP1roGSDSpin_free/0/results.out,0.5,2.166666666666667,-4.295165826839301,-2.128499160172634,6
database/h4_a2.0_alpha0.02/sto-6g/AP1roGSDSpin_free/0/results.out,0.02,2.6301155880395175,-4.5726899590693755,-1.942574371029858,23
database/h4_a2.0_alpha0.0/sto-6g/AP1roGSDSpin_free/0/results.out,0.0,2.7071067811865475,-4.610905961034808,-1.9037991798482605,63
database/h4_a2.0_alpha0.05/sto-6g/AP1roGSDSpin_free/0/results.out,0.05,2.538388830039954,-4.510111310722174,-1.9717224806822204,18
database/h4_a2.0_alpha0.4/sto-6g/AP1roGSDSpin_free/0/results.out,0.4,2.178520822941339,-4.304793013576833,-2.126272190635494,6
database/h4_a2.0_alpha0.3/sto-6g/AP1roGSDSpin_free/0/results.out,0.3,2.216714118526292,-4.3343823092242015,-2.1176681906979096,6
