Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0,2.707106781,-4.630377619,-1.923270838
0.005,2.686389082,-4.618468097,-1.932079015
0.01,2.666702232,-4.601863399,-1.935161167
0.02,2.630115588,-4.57265575,-1.942540162
0.05,2.53838883,-4.51003963,-1.9716508
0.1,2.427050984,-4.455237243,-2.028186259
0.15,2.348470964,-4.417995249,-2.069524285
0.2,2.290987895,-4.385073009,-2.094085114
0.25,2.248302884,-4.357079859,-2.108776975
0.3,2.216714119,-4.334381941,-2.117667822
0.4,2.178520823,-4.304792836,-2.126272013
0.5,2.166666667,-4.295166296,-2.128499629
