Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0,2.707106781,-4.493785204,-1.786678422
0.005,2.686389082,-4.566482965,-1.880093882
0.01,2.666702232,-4.553151966,-1.886449734
0.02,2.630115588,-4.533931147,-1.903815559
0.05,2.53838883,-4.497888707,-1.959499877
0.1,2.427050984,-4.454696943,-2.027645959
0.15,2.348470964,-4.417237261,-2.068766297
0.2,2.290987895,-4.384076661,-2.093088766
0.25,2.248302884,-4.355799665,-2.107496781
0.3,2.216714119,-4.333106737,-2.116392619
0.4,2.178520823,-4.30338091,-2.124860087
0.5,2.166666667,-4.293704867,-2.127038201
