Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0,2.707106781,-4.654908386,-1.947801604
0.005,2.686389082,-4.61848294,-1.932093858
0.01,2.666702232,-4.60193465,-1.935232418
0.02,2.630115588,-4.572879658,-1.94276407
0.05,2.53838883,-4.51056014,-1.97217131
0.1,2.427050984,-4.455237347,-2.028186363
0.15,2.348470964,-4.41799527,-2.069524306
0.2,2.290987895,-4.385073045,-2.09408515
0.25,2.248302884,-4.357079571,-2.108776687
0.3,2.216714119,-4.334382616,-2.117668498
0.4,2.178520823,-4.30479322,-2.126272397
0.5,2.166666667,-4.295166126,-2.128499459
