Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0,2.707106781,-4.609151523,-1.902044742
0.005,2.686389082,-4.646264116,-1.959875034
0.01,2.666702232,-4.631420668,-1.964718435
0.02,2.630115588,-4.607357817,-1.977242229
0.05,2.53838883,-4.559176696,-2.020787866
0.1,2.427050984,-4.505062559,-2.078011575
0.15,2.348470964,-4.461798222,-2.113327257
0.2,2.290987895,-4.425554556,-2.134566661
0.25,2.248302884,-4.395754639,-2.147451755
0.3,2.216714119,-4.372090887,-2.155376768
0.4,2.178520823,-4.341739595,-2.163218772
0.5,2.166666667,-4.331960783,-2.165294117
