Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
1.1428,3.618341332,-5.630685193,-2.01234386
1.145,3.614567207,-5.627499296,-2.012932088
1.15,3.606036738,-5.620268715,-2.014231977
1.2,3.524159592,-5.548764433,-2.02460484
1.3,3.376905155,-5.410227834,-2.03332268
1.4,3.247803349,-5.277853203,-2.030049854
1.6,3.030868809,-5.032675306,-2.001806497
1.8,2.854405257,-4.81815698,-1.963751722
1.9,2.777631013,-4.727824566,-1.950193553
1.95,2.741641165,-4.689915121,-1.948273956
1.98,2.720752119,-4.670002108,-1.949249989
1.99,2.713901878,-4.663730068,-1.949828191
2,2.707106781,-4.657620983,-1.950514202
2.01,2.700366105,-4.651874423,-1.951508318
2.02,2.693679139,-4.646288758,-1.952609619
2.05,2.673933608,-4.630545737,-1.956612129
2.1,2.642036125,-4.608160495,-1.966124371
2.2,2.581763703,-4.57217094,-1.990407237
2.5,2.424695048,-4.484182019,-2.059486972
3,2.221366863,-4.351702424,-2.130335561
4,1.947213595,-4.126810644,-2.179597048
5,1.771390676,-3.960768909,-2.189378233
7,1.560435414,-3.751815375,-2.191379961
10,1.396116135,-3.58754999,-2.191433855
