Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
1.1428,3.618341332,-5.630685235,-2.012343902
1.145,3.614567207,-5.627499282,-2.012932074
1.15,3.606036738,-5.620268799,-2.014232062
1.2,3.524159592,-5.548764373,-2.02460478
1.3,3.376905155,-5.410227764,-2.033322609
1.4,3.247803349,-5.27785319,-2.030049841
1.6,3.030868809,-5.03267533,-2.00180652
1.8,2.854405257,-4.818156906,-1.963751649
1.9,2.777631013,-4.727824056,-1.950193044
1.95,2.741641165,-4.68991464,-1.948273475
1.98,2.720752119,-4.670002764,-1.949250644
1.99,2.713901878,-4.663728558,-1.94982668
2,2.707106781,-4.657621758,-1.950514977
2.01,2.700366105,-4.651874707,-1.951508602
2.02,2.693679139,-4.646288386,-1.952609246
2.05,2.673933608,-4.630546861,-1.956613252
2.1,2.642036125,-4.608160226,-1.966124101
2.2,2.581763703,-4.572170557,-1.990406854
2.5,2.424695048,-4.484182006,-2.059486959
3,2.221366863,-4.35170237,-2.130335508
4,1.947213595,-4.126810662,-2.179597066
5,1.771390676,-3.960768858,-2.189378182
7,1.560435414,-3.751815364,-2.19137995
10,1.396116135,-3.587549889,-2.191433754
