Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
1.1428,3.618341332,-5.609965306,-1.991623973
1.145,3.614567207,-5.606718741,-1.992151533
1.15,3.606036738,-5.599349913,-1.993313175
1.2,3.524159592,-5.5264073,-2.002247708
1.3,3.376905155,-5.384668565,-2.00776341
1.4,3.247803349,-5.248574903,-2.000771554
1.6,3.030868809,-4.993743251,-1.962874441
1.8,2.854405257,-4.779726782,-1.925321525
1.9,2.777631013,-4.701812341,-1.924181329
1.95,2.741641165,-4.66784906,-1.926207894
1.98,2.720752119,-4.648778267,-1.928026148
1.99,2.713901878,-4.642621493,-1.928719615
2,2.707106781,-4.636561907,-1.929455125
2.01,2.700366105,-4.630597005,-1.9302309
2.02,2.693679139,-4.624724068,-1.931044928
2.05,2.673933608,-4.607647789,-1.933714181
2.1,2.642036125,-4.580902805,-1.93886668
2.2,2.581763703,-4.533302678,-1.951538975
2.5,2.424695048,-4.426921737,-2.00222669
3,2.221366863,-4.297078808,-2.075711945
4,1.947213595,-4.073341652,-2.126128057
5,1.771390676,-3.906751549,-2.135360873
7,1.560435414,-3.696523936,-2.136088523
10,1.396116135,-3.531227958,-2.135111823
