Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
1.1428,3.618341332,-5.625017019,-2.006675686
1.145,3.614567207,-5.621817122,-2.007249915
1.15,3.606036738,-5.614554953,-2.008518215
1.2,3.524159592,-5.542724852,-2.01856526
1.3,3.376905155,-5.403492338,-2.026587183
1.4,3.247803349,-5.270367395,-2.022564046
1.6,3.030868809,-5.023631902,-1.992763093
1.8,2.854405257,-4.808378355,-1.953973098
1.9,2.777631013,-4.723669272,-1.94603826
1.95,2.741641165,-4.688473329,-1.946832164
1.98,2.720752119,-4.669206143,-1.948454024
1.99,2.713901878,-4.663066566,-1.949164688
2,2.707106781,-4.657062545,-1.949955764
2.01,2.700366105,-4.651191,-1.950824895
2.02,2.693679139,-4.645449251,-1.951770112
2.05,2.673933608,-4.628979407,-1.955045798
2.1,2.642036125,-4.603927671,-1.961891546
2.2,2.581763703,-4.562088134,-1.980324431
2.5,2.424695048,-4.471100814,-2.046405767
3,2.221366863,-4.328213639,-2.106846776
4,1.947213595,-4.106498818,-2.159285223
5,1.771390676,-3.941502568,-2.170111891
7,1.560435414,-3.733154278,-2.172718865
10,1.396116135,-3.569065648,-2.172949512
