Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree)
1.1428,3.618341332,-5.625017003,-2.00667567
1.145,3.614567207,-5.621817122,-2.007249915
1.15,3.606036738,-5.614554927,-2.008518189
1.2,3.524159592,-5.542724876,-2.018565284
1.3,3.376905155,-5.403492304,-2.026587149
1.4,3.247803349,-5.270367415,-2.022564065
1.6,3.030868809,-5.023631899,-1.992763089
1.8,2.854405257,-4.808378322,-1.953973064
1.9,2.777631013,-4.723669277,-1.946038264
1.95,2.741641165,-4.688473327,-1.946832161
1.98,2.720752119,-4.669206144,-1.948454025
1.99,2.713901878,-4.663066566,-1.949164688
2,2.707106781,-4.657062543,-1.949955762
2.01,2.700366105,-4.651191001,-1.950824896
2.02,2.693679139,-4.64544925,-1.951770111
2.05,2.673933608,-4.628979412,-1.955045803
2.1,2.642036125,-4.603927675,-1.96189155
2.2,2.581763703,-4.562088152,-1.980324449
2.5,2.424695048,-4.455912032,-2.031216984
3,2.221366863,-4.337145687,-2.115778824
4,1.947213595,-4.106498784,-2.159285188
5,1.771390676,-3.943838642,-2.172447966
7,1.560435414,-3.734062136,-2.173626722
10,1.396116135,-3.569388518,-2.173272383
