Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
1.1428,3.618341332,-5.630762077,-2.012420745
1.145,3.614567207,-5.627576682,-2.013009475
1.15,3.606036738,-5.620347589,-2.014310851
1.2,3.524159592,-5.548857767,-2.024698174
1.3,3.376905155,-5.410358786,-2.033453631
1.4,3.247803349,-5.278036436,-2.030233087
1.6,3.030868809,-5.033026681,-2.002157872
1.8,2.854405257,-4.818711056,-1.964305799
1.9,2.777631013,-4.728264103,-1.95063309
1.95,2.741641165,-4.690091937,-1.948450772
1.98,2.720752119,-4.6700816,-1.949329481
1.99,2.713901878,-4.663786025,-1.949884147
2,2.707106781,-4.657658094,-1.950551313
2.01,2.700366105,-4.651931146,-1.951565041
2.02,2.693679139,-4.646371288,-1.952692148
2.05,2.673933608,-4.63074177,-1.956808162
2.1,2.642036125,-4.608674343,-1.966638218
2.2,2.581763703,-4.572988339,-1.991224636
2.5,2.424695048,-4.485112197,-2.06041715
3,2.221366863,-4.352528917,-2.131162054
4,1.947213595,-4.127542555,-2.18032896
5,1.771390676,-3.961478886,-2.19008821
7,1.560435414,-3.752520439,-2.192085026
10,1.396116135,-3.588255683,-2.192139547
