Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
1.1428,3.618341332,-5.60996539,-1.991624058
1.145,3.614567207,-5.606718846,-1.992151638
1.15,3.606036738,-5.599349905,-1.993313167
1.2,3.524159592,-5.526407377,-2.002247785
1.3,3.376905155,-5.384668648,-2.007763493
1.4,3.247803349,-5.248574904,-2.000771555
1.6,3.030868809,-4.993743362,-1.962874553
1.8,2.854405257,-4.77972738,-1.925322123
1.9,2.777631013,-4.70181245,-1.924181437
1.95,2.741641165,-4.667849871,-1.926208705
1.98,2.720752119,-4.648778431,-1.928026312
1.99,2.713901878,-4.642622128,-1.92872025
2,2.707106781,-4.636562401,-1.92945562
2.01,2.700366105,-4.630597215,-1.93023111
2.02,2.693679139,-4.624724778,-1.931045639
2.05,2.673933608,-4.607647878,-1.93371427
2.1,2.642036125,-4.580903622,-1.938867498
2.2,2.581763703,-4.533303559,-1.951539856
2.5,2.424695048,-4.426922023,-2.002226975
3,2.221366863,-4.297078983,-2.07571212
4,1.947213595,-4.073341708,-2.126128113
5,1.771390676,-3.906751749,-2.135361072
7,1.560435414,-3.696524101,-2.136088687
10,1.396116135,-3.531228061,-2.135111925
