Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
1.1428,3.618341332,-5.609965328,-1.991623995
1.145,3.614567207,-5.606718847,-1.99215164
1.15,3.606036738,-5.599349905,-1.993313167
1.2,3.524159592,-5.526407357,-2.002247765
1.3,3.376905155,-5.384668633,-2.007763478
1.4,3.247803349,-5.248574913,-2.000771564
1.6,3.030868809,-4.993743287,-1.962874478
1.8,2.854405257,-4.779727248,-1.925321991
1.9,2.777631013,-4.701812324,-1.924181311
1.95,2.741641165,-4.66784991,-1.926208744
1.98,2.720752119,-4.648778279,-1.92802616
1.99,2.713901878,-4.642622045,-1.928720167
2,2.707106781,-4.636562517,-1.929455736
2.01,2.700366105,-4.630596979,-1.930230874
2.02,2.693679139,-4.624724406,-1.931045266
2.05,2.673933608,-4.607647809,-1.933714201
2.1,2.642036125,-4.580903704,-1.938867579
2.2,2.581763703,-4.533303477,-1.951539774
2.5,2.424695048,-4.426921958,-2.00222691
3,2.221366863,-4.297079073,-2.07571221
4,1.947213595,-4.07334189,-2.126128295
5,1.771390676,-3.90675179,-2.135361113
7,1.560435414,-3.696524108,-2.136088694
10,1.396116135,-3.53122805,-2.135111915
