Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
1.1428,3.618341332,-5.631487579,-2.013146246
1.145,3.614567207,-5.628304055,-2.013736848
1.15,3.606036738,-5.621079163,-2.015042425
1.2,3.524159592,-5.549633551,-2.025473958
1.3,3.376905155,-5.411235981,-2.034330827
1.4,3.247803349,-5.279042556,-2.031239207
1.6,3.030868809,-5.034487357,-2.003618547
1.8,2.854405257,-4.821592921,-1.967187664
1.9,2.777631013,-4.733061735,-1.955430722
1.95,2.741641165,-4.695608772,-1.953967607
1.98,2.720752119,-4.675688114,-1.954935995
1.99,2.713901878,-4.66947931,-1.955577432
2,2.707106781,-4.663482159,-1.956375378
2.01,2.700366105,-4.657692113,-1.957326008
2.02,2.693679139,-4.652103302,-1.958424162
2.05,2.673933608,-4.636469855,-1.962536247
2.1,2.642036125,-4.613648677,-1.971612552
2.2,2.581763703,-4.576097186,-1.994333483
2.5,2.424695048,-4.486240997,-2.061545949
3,2.221366863,-4.352926465,-2.131559602
4,1.947213595,-4.127632768,-2.180419172
5,1.771390676,-3.96150589,-2.190115213
7,1.560435414,-3.752524591,-2.192089178
10,1.396116135,-3.58825621,-2.192140075
