Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
1.1428,3.618341332,-5.625016962,-2.00667563
1.145,3.614567207,-5.621817087,-2.00724988
1.15,3.606036738,-5.614554906,-2.008518168
1.2,3.524159592,-5.542724829,-2.018565237
1.3,3.376905155,-5.403492278,-2.026587123
1.4,3.247803349,-5.270367343,-2.022563994
1.6,3.030868809,-5.023631817,-1.992763008
1.8,2.854405257,-4.808378125,-1.953972867
1.9,2.777631013,-4.723668858,-1.946037846
1.95,2.741641165,-4.688473104,-1.946831939
1.98,2.720752119,-4.669205655,-1.948453536
1.99,2.713901878,-4.6630661,-1.949164222
2,2.707106781,-4.657062429,-1.949955648
2.01,2.700366105,-4.65119089,-1.950824785
2.02,2.693679139,-4.645449006,-1.951769866
2.05,2.673933608,-4.628978891,-1.955045283
2.1,2.642036125,-4.603927505,-1.96189138
2.2,2.581763703,-4.562087989,-1.980324286
2.5,2.424695048,-4.471100607,-2.046405559
3,2.221366863,-4.337145616,-2.115778753
4,1.947213595,-4.102829506,-2.155615911
5,1.771390676,-3.943838554,-2.172447877
7,1.560435414,-3.733154232,-2.172718818
10,1.396116135,-3.56938846,-2.173272325
