Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
1.1428,3.618341332,-5.609965303,-1.99162397
1.145,3.614567207,-5.606718753,-1.992151546
1.15,3.606036738,-5.599349896,-1.993313158
1.2,3.524159592,-5.526407288,-2.002247696
1.3,3.376905155,-5.384668552,-2.007763397
1.4,3.247803349,-5.2485749,-2.00077155
1.6,3.030868809,-4.99374327,-1.96287446
1.8,2.854405257,-4.779727279,-1.925322022
1.9,2.777631013,-4.701811963,-1.92418095
1.95,2.741641165,-4.667849694,-1.926208529
1.98,2.720752119,-4.648778104,-1.928025985
1.99,2.713901878,-4.64262204,-1.928720162
2,2.707106781,-4.636562281,-1.929455499
2.01,2.700366105,-4.630596741,-1.930230636
2.02,2.693679139,-4.624724641,-1.931045501
2.05,2.673933608,-4.607647544,-1.933713935
2.1,2.642036125,-4.580903309,-1.938867184
2.2,2.581763703,-4.533303349,-1.951539645
2.5,2.424695048,-4.426921926,-2.002226878
3,2.221366863,-4.297078802,-2.07571194
4,1.947213595,-4.073341616,-2.12612802
5,1.771390676,-3.906751572,-2.135360895
7,1.560435414,-3.696523936,-2.136088522
10,1.396116135,-3.531227959,-2.135111824
