Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
1.1428,3.618341332,-5.609965293,-1.99162396
1.145,3.614567207,-5.606718771,-1.992151564
1.15,3.606036738,-5.59934988,-1.993313142
1.2,3.524159592,-5.526407297,-2.002247704
1.3,3.376905155,-5.384668568,-2.007763413
1.4,3.247803349,-5.24857488,-2.000771531
1.6,3.030868809,-4.99374326,-1.962874451
1.8,2.854405257,-4.779727063,-1.925321806
1.9,2.777631013,-4.70181224,-1.924181228
1.95,2.741641165,-4.667849126,-1.926207961
1.98,2.720752119,-4.648777064,-1.928024945
1.99,2.713901878,-4.64262201,-1.928720132
2,2.707106781,-4.636561224,-1.929454442
2.01,2.700366105,-4.630597108,-1.930231003
2.02,2.693679139,-4.624724621,-1.931045482
2.05,2.673933608,-4.607647088,-1.93371348
2.1,2.642036125,-4.580903592,-1.938867467
2.2,2.581763703,-4.533302915,-1.951539211
2.5,2.424695048,-4.426921729,-2.002226682
3,2.221366863,-4.297078755,-2.075711892
4,1.947213595,-4.073341631,-2.126128035
5,1.771390676,-3.906751546,-2.13536087
7,1.560435414,-3.696523938,-2.136088525
10,1.396116135,-3.53122796,-2.135111825
