Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
1.1428,3.618341332,-5.609965417,-1.991624085
1.145,3.614567207,-5.606719129,-1.992151921
1.15,3.606036738,-5.599350482,-1.993313744
1.2,3.524159592,-5.526405636,-2.002246044
1.3,3.376905155,-5.384671763,-2.007766608
1.4,3.247803349,-5.248580747,-2.000777398
1.6,3.030868809,-4.993762115,-1.962893305
1.8,2.854405257,-4.764144831,-1.909739574
1.9,2.777631013,-4.662969495,-1.885338482
1.95,2.741641165,-4.619284887,-1.877643722
1.98,2.720752119,-4.596777809,-1.87602569
1.99,2.713901878,-4.59002222,-1.876120342
2,2.707106781,-4.583652507,-1.876545726
2.01,2.700366105,-4.577669724,-1.877303619
2.02,2.693679139,-4.57205599,-1.878376851
2.05,2.673933608,-4.557219804,-1.883286196
2.1,2.642036125,-4.537404267,-1.895368142
2.2,2.581763703,-4.506309291,-1.924545588
2.5,2.424695048,-4.42594973,-2.001254683
3,2.221366863,-4.297129874,-2.075763011
4,1.947213595,-4.073385623,-2.126172027
5,1.771390676,-3.90679705,-2.135406374
7,1.560435414,-3.69657079,-2.136135376
10,1.396116135,-3.531275957,-2.135159822
